sequence_name,gc_content,P2,RNA,terH,total_score
sample7697,31.48602256007847,0.022156573116691284,0.24434611602753195,0.011291114383897889,0
sample6303,60.06876227897839,0.02214566929133858,0.2465483234714004,0.011296660117878193,0
sample8993,41.89122978931896,0.02214566929133858,0.24521824423737126,0.011363636363636364,0
sample4601,38.09055118110236,0.02214566929133858,0.2466765140324963,0.011341222879684419,0
sample5455,30.829268292682926,0.02214566929133858,0.2422027290448343,0.011224987798926306,0
sample3213,30.33431661750246,0.02214566929133858,0.2432564982834723,0.011369253583786456,0
sample2774,24.46078431372549,0.02214566929133858,0.24217221135029354,0.011369253583786456,0
sample9884,43.93120393120393,0.022134776192818496,0.24753451676528598,0.011307767944936086,0
sample9173,31.661750245821043,0.022134776192818496,0.25113464447806355,0.011363636363636364,0
sample5530,29.68596663395486,0.022134776192818496,0.24533856722276742,0.011307767944936086,0
sample5570,53.97838899803536,0.022123893805309734,0.24607072691552062,0.011358024691358024,0
sample6892,47.09931170108161,0.022123893805309734,0.2457002457002457,0.011341222879684419,0
sample1531,46.51049292337726,0.022123893805309734,0.24257184607890891,0.011252446183953033,0
sample2443,42.8009828009828,0.022123893805309734,0.2470414201183432,0.011302211302211302,0
sample1973,42.47787610619469,0.022123893805309734,0.24790123456790122,0.011324470704086657,0
sample3905,37.39598629466471,0.022123893805309734,0.24546790788829007,0.011263467189030362,0
sample4612,36.87315634218289,0.022123893805309734,0.2464268112370626,0.011352418558736426,0
sample7629,35.412573673870334,0.022123893805309734,0.24729064039408866,0.011296660117878193,0
sample5230,32.743362831858406,0.022123893805309734,0.2458128078817734,0.011330049261083743,0
sample9209,28.1648675171737,0.022123893805309734,0.23721383341451535,0.011302211302211302,0
sample1462,53.53287536800785,0.022113022113022112,0.24582924435721296,0.011296660117878193,0
sample1428,37.917485265225935,0.022113022113022112,0.24533856722276742,0.011346817957572768,0
sample6452,37.9107405590976,0.022113022113022112,0.2463199214916585,0.011318897637795276,0
sample9291,33.023027927486524,0.022113022113022112,0.24473813020068527,0.011324470704086657,0
sample1634,32.481572481572485,0.022113022113022112,0.2450884086444008,0.011380504700643246,0
sample7552,32.12180746561886,0.022113022113022112,0.24411764705882352,0.011442786069651741,0
sample8876,30.12757605495584,0.022113022113022112,0.24387855044074436,0.011352418558736426,0
sample116,28.781925343811395,0.022113022113022112,0.2450884086444008,0.011318897637795276,0
sample2578,50.465914664051006,0.022102161100196464,0.24448799608035277,0.011280039234919078,0
sample5648,47.47177221404026,0.022102161100196464,0.24644084437898872,0.011324470704086657,0
sample7489,42.23968565815324,0.022102161100196464,0.24607072691552062,0.01131333005410723,0
sample3416,39.145383104125735,0.022102161100196464,0.2464268112370626,0.011318897637795276,0
sample7699,37.01521845851743,0.022102161100196464,0.2446078431372549,0.011341222879684419,0
sample9102,34.03629230014713,0.022102161100196464,0.2449779519843214,0.011330049261083743,0
sample4561,32.40058910162003,0.022102161100196464,0.2446078431372549,0.011302211302211302,0
sample9793,30.385930630190522,0.022102161100196464,0.2422027290448343,0.011274509803921568,0
sample5544,28.571428571428573,0.022102161100196464,0.24035173424523693,0.011358024691358024,0
sample8018,51.93722412947523,0.022091310751104567,0.2449779519843214,0.011330049261083743,0
sample8310,40.15632633121641,0.022091310751104567,0.2449877750611247,0.011246943765281174,0
sample1413,40.05876591576885,0.022091310751104567,0.2463199214916585,0.011363636363636364,0
sample5036,40.01961745953899,0.022091310751104567,0.24558823529411763,0.011408730158730158,0
sample2946,37.9107405590976,0.022091310751104567,0.2474074074074074,0.011285574092247301,0
sample4759,33.414872798434445,0.022091310751104567,0.24449877750611246,0.011252446183953033,0
sample672,48.13907933398629,0.022080471050049066,0.24583741429970618,0.011274509803921568,0
sample6034,45.78431372549019,0.022080471050049066,0.2472852912142152,0.011280039234919078,0
sample4203,44.21000981354269,0.022080471050049066,0.24533856722276742,0.011291114383897889,0
sample1148,41.91033138401559,0.022080471050049066,0.24233576642335766,0.01121951219512195,0
sample2932,40.755272192251105,0.022080471050049066,0.24619911721432075,0.011296660117878193,0
sample7317,37.914230019493175,0.022080471050049066,0.24486803519061584,0.01121951219512195,0
sample4449,35.03434739941119,0.022080471050049066,0.2470414201183432,0.011324470704086657,0
sample7102,33.8228095937347,0.022080471050049066,0.2449779519843214,0.011268985791278784,0
sample4811,28.753680078508342,0.022080471050049066,0.2463768115942029,0.011307767944936086,0
sample6972,49.36399217221135,0.022069641981363415,0.245708680725846,0.011268985791278784,0
sample5379,43.9921530161844,0.022069641981363415,0.2466830466830467,0.011291114383897889,0
sample2441,43.9119804400978,0.022069641981363415,0.243771372740596,0.011246943765281174,0
sample47,43.8235294117647,0.022069641981363415,0.24509803921568626,0.011274509803921568,0
sample650,42.64705882352941,0.022069641981363415,0.24644084437898872,0.011274509803921568,0
sample7864,37.18199608610568,0.022069641981363415,0.24496809032891506,0.011257953989231522,0
sample166,36.39921722113503,0.022069641981363415,0.2455968688845401,0.01131333005410723,0
sample3281,34.831460674157306,0.022069641981363415,0.243771372740596,0.011268985791278784,0
sample1035,31.519607843137255,0.022069641981363415,0.24607072691552062,0.011274509803921568,0
sample1521,29.230014713094654,0.022069641981363415,0.24603960396039604,0.011318897637795276,0
sample8573,28.445316331535068,0.022069641981363415,0.24205378973105135,0.011285574092247301,0
sample5809,56.75146771037182,0.022058823529411766,0.245717082721488,0.011263467189030362,0
sample3771,56.33871757219775,0.022058823529411766,0.24519940915805022,0.011263467189030362,0
sample1661,47.69607843137255,0.022058823529411766,0.24558823529411763,0.011291114383897889,0
sample1101,37.35294117647059,0.022058823529411766,0.2449779519843214,0.011280039234919078,0
sample489,34.068627450980394,0.022058823529411766,0.2443682664054848,0.011324470704086657,0
sample9524,34.068627450980394,0.022058823529411766,0.24496809032891506,0.011471321695760598,0
sample4336,33.333333333333336,0.022058823529411766,0.24545900834560627,0.011280039234919078,0
sample3085,33.088235294117645,0.022058823529411766,0.24594195769798327,0.011307767944936086,0
sample409,32.450980392156865,0.022058823529411766,0.24375917767988253,0.011302211302211302,0
sample4891,27.58451739343459,0.022058823529411766,0.24169921875,0.011335633316904879,0
sample3873,26.666666666666668,0.022058823529411766,0.24360236220472442,0.011296660117878193,0
sample6599,54.67836257309941,0.022048015678588925,0.24294060370009737,0.01121951219512195,0
sample5890,50.70766227428014,0.022048015678588925,0.2449975597852611,0.011241446725317693,0
sample532,39.23865300146413,0.022048015678588925,0.2442486539402839,0.011235955056179775,0
sample1827,36.8575624082232,0.022048015678588925,0.2442486539402839,0.011285574092247301,0
sample5566,31.80933852140078,0.022048015678588925,0.24235065565808644,0.01119221411192214,0
sample9988,29.30528375733855,0.022048015678588925,0.2427943331704934,0.01131333005410723,0
sample3685,28.571428571428573,0.022048015678588925,0.24254278728606357,0.011291114383897889,0
sample4089,51.371204701273264,0.022037218413320275,0.2443682664054848,0.011268985791278784,0
sample4593,50.85490962383977,0.022037218413320275,0.24510763209393346,0.01131333005410723,0
sample4052,47.65395894428153,0.022037218413320275,0.24546790788829007,0.011257953989231522,0
sample8174,46.32713026444662,0.022037218413320275,0.2459578637922587,0.011363636363636364,0
sample7943,43.17180616740088,0.022037218413320275,0.24619911721432075,0.011285574092247301,0
sample8872,40.89128305582762,0.022037218413320275,0.24558823529411763,0.011330049261083743,0
sample2290,40.11741682974559,0.022037218413320275,0.2442486539402839,0.011257953989231522,0
sample3681,39.549681840430736,0.022037218413320275,0.2466765140324963,0.011442786069651741,0
